api,url
tf.AggregationMethod,https://www.tensorflow.org/api_docs/python/tf/AggregationMethod
tf.argsort,https://www.tensorflow.org/api_docs/python/tf/argsort
tf.audio,https://www.tensorflow.org/api_docs/python/tf/audio
tf.audio.decode_wav,https://www.tensorflow.org/api_docs/python/tf/audio/decode_wav
tf.audio.encode_wav,https://www.tensorflow.org/api_docs/python/tf/audio/encode_wav
tf.autograph,https://www.tensorflow.org/api_docs/python/tf/autograph
tf.autograph.experimental,https://www.tensorflow.org/api_docs/python/tf/autograph/experimental
tf.autograph.experimental.do_not_convert,https://www.tensorflow.org/api_docs/python/tf/autograph/experimental/do_not_convert
tf.autograph.experimental.Feature,https://www.tensorflow.org/api_docs/python/tf/autograph/experimental/Feature
tf.autograph.set_verbosity,https://www.tensorflow.org/api_docs/python/tf/autograph/set_verbosity
tf.autograph.to_code,https://www.tensorflow.org/api_docs/python/tf/autograph/to_code
tf.autograph.to_graph,https://www.tensorflow.org/api_docs/python/tf/autograph/to_graph
tf.autograph.trace,https://www.tensorflow.org/api_docs/python/tf/autograph/trace
tf.batch_to_space,https://www.tensorflow.org/api_docs/python/tf/batch_to_space
tf.bitcast,https://www.tensorflow.org/api_docs/python/tf/bitcast
tf.bitwise,https://www.tensorflow.org/api_docs/python/tf/bitwise
tf.bitwise.bitwise_and,https://www.tensorflow.org/api_docs/python/tf/bitwise/bitwise_and
tf.bitwise.bitwise_or,https://www.tensorflow.org/api_docs/python/tf/bitwise/bitwise_or
tf.bitwise.bitwise_xor,https://www.tensorflow.org/api_docs/python/tf/bitwise/bitwise_xor
tf.bitwise.invert,https://www.tensorflow.org/api_docs/python/tf/bitwise/invert
tf.bitwise.left_shift,https://www.tensorflow.org/api_docs/python/tf/bitwise/left_shift
tf.bitwise.right_shift,https://www.tensorflow.org/api_docs/python/tf/bitwise/right_shift
tf.boolean_mask,https://www.tensorflow.org/api_docs/python/tf/boolean_mask
tf.broadcast_dynamic_shape,https://www.tensorflow.org/api_docs/python/tf/broadcast_dynamic_shape
tf.broadcast_static_shape,https://www.tensorflow.org/api_docs/python/tf/broadcast_static_shape
tf.broadcast_to,https://www.tensorflow.org/api_docs/python/tf/broadcast_to
tf.case,https://www.tensorflow.org/api_docs/python/tf/case
tf.clip_by_global_norm,https://www.tensorflow.org/api_docs/python/tf/clip_by_global_norm
tf.clip_by_norm,https://www.tensorflow.org/api_docs/python/tf/clip_by_norm
tf.clip_by_value,https://www.tensorflow.org/api_docs/python/tf/clip_by_value
tf.compat,https://www.tensorflow.org/api_docs/python/tf/compat
tf.compat.as_bytes,https://www.tensorflow.org/api_docs/python/tf/compat/as_bytes
tf.compat.as_str_any,https://www.tensorflow.org/api_docs/python/tf/compat/as_str_any
tf.compat.as_text,https://www.tensorflow.org/api_docs/python/tf/compat/as_text
tf.compat.dimension_at_index,https://www.tensorflow.org/api_docs/python/tf/compat/dimension_at_index
tf.compat.dimension_value,https://www.tensorflow.org/api_docs/python/tf/compat/dimension_value
tf.compat.forward_compatibility_horizon,https://www.tensorflow.org/api_docs/python/tf/compat/forward_compatibility_horizon
tf.compat.forward_compatible,https://www.tensorflow.org/api_docs/python/tf/compat/forward_compatible
tf.compat.path_to_str,https://www.tensorflow.org/api_docs/python/tf/compat/path_to_str
tf.compat.v1,https://www.tensorflow.org/api_docs/python/tf/compat/v1
tf.compat.v1.add_check_numerics_ops,https://www.tensorflow.org/api_docs/python/tf/compat/v1/add_check_numerics_ops
tf.compat.v1.add_to_collection,https://www.tensorflow.org/api_docs/python/tf/compat/v1/add_to_collection
tf.compat.v1.add_to_collections,https://www.tensorflow.org/api_docs/python/tf/compat/v1/add_to_collections
tf.compat.v1.app,https://www.tensorflow.org/api_docs/python/tf/compat/v1/app
tf.compat.v1.app.run,https://www.tensorflow.org/api_docs/python/tf/compat/v1/app/run
